time,comp_dis,comp_auto,comp_conn,batt_cap,batt_volt,batt_cur,batt_temp,mas_dn,mas_up,mas_lt,mas_rt,mas_a,mas_b,mas_x,mas_y,mas_lx,mas_ly,mas_rx,mas_ry,imu_cal,imu_hdg,imu_rot,imu_euler_pitch,imu_euler_yaw,imu_euler_roll,imu_acc_x,imu_acc_y,imu_acc_z,gps_x,gps_y,gps_pitch,gps_yaw,gps_roll,gps_hdg,gps_rot,gps_acc_x,gps_acc_y,gps_acc_z,gps_error,gps_gyro_x,gps_gyro_y,gps_gyro_z,left_vel,left_cur,left_pos,left_volt,left_temp,right_vel,right_cur,right_pos,right_volt,right_temp
00000821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.081787,0.042236,-1.003418,230.544800,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.104492,0.042725,-0.998047,230.687035,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.068604,0.030518,-1.004395,230.924202,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,-6.000000,35.000000
00000883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.112793,0.024414,-1.001709,231.066582,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,-6.000000,35.000000
00000903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.083496,0.016357,-0.997314,231.304001,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,6.000000,35.000000
00000926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.078857,0.034912,-1.007080,231.684174,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.133301,0.034424,-0.996094,231.684174,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.093750,0.033936,-1.003418,232.064743,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.099365,0.030762,-1.003418,232.064743,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.076416,0.038330,-1.004639,232.445686,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
